Sno,Position,LINK,CAMPUS,REQUIREMENT,REDIRECT_TO,ASPECT_RATIO,SOURCE_FILE,REMARKS
191,Poly – Diploma 4: Mechanical photo,https://jct1.teammistake.com/site_assests/mech-img.jpg.jpeg,poly,image,,3:2,polytechnic.tsx,"Mechanical Diploma card. Shared with Eng MECH — unique polytechnic workshop photo preferred"
192,Poly – Diploma 4: Mechanical content,–,poly,content,–,–,polytechnic.tsx,"Diploma in Mechanical Engineering · 3 Years · CNC, AutoCAD, manufacturing"
193,Poly – Diploma 4: Mechanical link,–,poly,redirect,/institutions/polytechnic/mechanical-engineering,–,polytechnic.tsx,"On click → Diploma Mechanical page"
194,Poly – Diploma 5: EEE photo,https://jct1.teammistake.com/site_assests/eee-img.jpg.jpeg,poly,image,,3:2,polytechnic.tsx,"EEE Diploma card. Shared with Eng EEE — unique polytechnic electrical lab photo preferred"
195,Poly – Diploma 5: EEE content,–,poly,content,–,–,polytechnic.tsx,"Diploma in Electrical & Electronics Engineering · 3 Years · PLC, power systems"
196,Poly – Diploma 5: EEE link,–,poly,redirect,/institutions/polytechnic/electrical-electronics,–,polytechnic.tsx,"On click → EEE Diploma page"
197,Poly – Diploma 6: Civil photo,https://jct1.teammistake.com/site_assests/civil-img-1.jpg.jpeg,poly,image,,3:2,polytechnic.tsx,"Civil Diploma card. Shared with Eng Civil — polytechnic-specific site photo preferred"
198,Poly – Diploma 6: Civil content,–,poly,content,–,–,polytechnic.tsx,"Diploma in Civil Engineering · 3 Years · Site management, AutoCAD, structural"
199,Poly – Diploma 6: Civil link,–,poly,redirect,/institutions/polytechnic/civil-engineering,–,polytechnic.tsx,"On click → Diploma Civil page"
200,Poly – News image 1,https://jct1.teammistake.com/site_assests/banner6.jpeg,poly,image,,16:9,polytechnic.tsx,"Independence Day event photo. 600×340px. JPEG"
201,Poly – News item 1,–,poly,content,–,–,polytechnic.tsx,"Independence Day Celebrations — 76th anniversary — Tue 15 Aug 2023 — confirm more recent news is needed"
202,Poly – News image 2,https://jct1.teammistake.com/site_assests/MGL5086-1.webp,poly,image,,16:9,polytechnic.tsx,"Entrepreneur Talk event photo. 600×340px. WebP"
203,Poly – News item 2,–,poly,content,–,–,polytechnic.tsx,"Entrepreneur Talk — Oct 2022 — this is 3+ years old. Update with 2025-26 news"
204,Poly – CTA: Apply Now,–,poly,redirect,/admissions/apply,–,polytechnic.tsx,"On click → Apply Now form"
205,Poly – CTA: Download Brochure,–,poly,redirect,/admissions/prospectus,–,polytechnic.tsx,"On click → Brochure page"
206,Admissions – Page title,–,admin,content,–,–,admissions.ts,"Admissions 2026-27 — confirm year is auto-updated or manually set"
207,Admissions – Why JCT: Heading,–,admin,content,–,–,admissions.ts,"Why Choose JCT? — section heading"
208,Admissions – Why JCT reason 1,–,admin,content,–,–,admissions.ts,"Industry-Aligned Curriculum — programs designed with industry leaders — confirm copy approved"
209,Admissions – Why JCT reason 2,–,admin,content,–,–,admissions.ts,"Experienced Faculty — 300+ faculty — confirm number"
210,Admissions – Why JCT reason 3,–,admin,content,–,–,admissions.ts,"Modern Laboratories — state-of-the-art labs — confirm"
211,Admissions – Why JCT reason 4,–,admin,content,–,–,admissions.ts,"Strong Placement Support — 96% rate, 200+ recruiters, 12 LPA — confirm all 3 numbers"
212,Admissions – Why JCT reason 5,–,admin,content,–,–,admissions.ts,"NAAC & NBA Accredited — multiple accreditations — confirm badges available"
213,Admissions – Why JCT reason 6,–,admin,content,–,–,admissions.ts,"Holistic Development — sports, cultural, clubs — confirm"
214,Admissions – Why JCT reason 7,–,admin,content,–,–,admissions.ts,"Affordable Education — merit scholarships — confirm scholarship details are available"
215,Admissions – Why JCT reason 8,–,admin,content,–,–,admissions.ts,"Prime Location — Coimbatore — confirm address and connectivity info"
216,Admissions – Programs: Eng list,–,admin,content,–,–,admissions.ts,"5 engineering programs listed: CSE, MECH, CE, EEE, ECE — confirm these are the only 5 shown here vs 11 on Eng page"
217,Admissions – Programs: Arts list,–,admin,content,–,–,admissions.ts,"6 arts programs: BSc CS, BSc AI/ML, BSc Physics, BSc Chemistry, BSc Maths, BCom — confirm current offerings"
218,Admissions – Programs: Poly list,–,admin,content,–,–,admissions.ts,"6 diploma programs: DCE, DME, DCivil, DEE, DECE, DAE — confirm current offerings"
219,Admissions – Eligibility: Engineering,–,admin,content,–,–,admissions.ts,"B.E./B.Tech: 12th HSC with PCM. Min 45% (40% reserved). TNEA counselling — confirm cut-off % is current"
220,Admissions – Eligibility: Arts,–,admin,content,–,–,admissions.ts,"B.Sc/B.Com/BBA: 12th HSC from recognized board. Min 50%. Merit-based"
221,Admissions – Eligibility: Polytechnic,–,admin,content,–,–,admissions.ts,"Diploma: 10th SSLC with Maths & Science. Min 35%. DOTE counselling"
222,Admissions – Scholarships section,–,admin,content,–,–,admissions.ts,"Scholarships section heading. Actual scheme names and amounts need to be added to data file"
223,Admissions – Process step 1,–,admin,content,–,–,admissions.ts,"Submit Application — fill online form with documents"
224,Admissions – Process step 2,–,admin,content,–,–,admissions.ts,"Document Verification — submit originals at admissions office"
225,Admissions – Process step 3,–,admin,content,–,–,admissions.ts,"Merit List — check notice board and website"
226,Admissions – Process step 4,–,admin,content,–,–,admissions.ts,"Counselling — branch allocation session"
227,Admissions – Process step 5,–,admin,content,–,–,admissions.ts,"Allotment Letter — confirmation of admission"
228,Admissions – Process step 6,–,admin,content,–,–,admissions.ts,"Fee Payment — confirm admission"
229,Admissions – Process step 7,–,admin,content,–,–,admissions.ts,"Welcome to JCT! — orientation program"
230,Admissions – Seats note,–,admin,content,–,–,admissions.ts,"Seat availability for 2026-27. Note: Updated regularly. Contact admissions office — confirm this is live-updated or static"
231,Admissions – Apply Now: form fields,–,admin,content,–,–,admissions.ts,"Form needs: Full Name, Email, Phone, Program, Course, Message — confirm these fields match backend API"
232,Admissions – Apply Now: Submit button,–,admin,redirect,POST /api/admissions/apply,–,admissions.ts,"On click → submits application to backend. Confirm endpoint exists and sends confirmation email"
233,Admissions – Prospectus download,–,admin,redirect,/admissions/prospectus,–,admissions.ts,"On click → opens or downloads PDF prospectus. Confirm PDF is available and up to date"
234,Placements – Overview heading,–,all,content,–,–,placements.ts,"Training & Placement Cell — Bridging academia and industry since 2009"
235,Placements – Year stats: 2023-24,–,all,content,–,–,placements.ts,"450 placed / 470 eligible / 96% rate / Highest 12 LPA / Avg 4.5 LPA — confirm latest year data"
236,Placements – Year stats: 2022-23,–,all,content,–,–,placements.ts,"420 placed / 440 eligible / 95% / 10 LPA highest / 4.2 LPA avg"
237,Placements – Year stats: 2021-22,–,all,content,–,–,placements.ts,"380 placed / 410 eligible / 93% / 9.5 LPA highest / 3.8 LPA avg"
238,Placements – Year stats: 2020-21,–,all,content,–,–,placements.ts,"350 placed / 380 eligible / 92% / 8 LPA highest / 3.5 LPA avg"
239,Placements – Internship: Summer,–,all,content,–,–,placements.ts,"Summer Internship — 6-8 weeks — pre-final year"
240,Placements – Internship: Industrial,–,all,content,–,–,placements.ts,"Industrial Training — 4-6 weeks — manufacturing and IT companies"
241,Placements – Internship: In-Plant,–,all,content,–,–,placements.ts,"In-Plant Training — 2 weeks — short-term industry visits"
242,Placements – Internship: Research,–,all,content,–,–,placements.ts,"Research Internship — 8-12 weeks — research labs and academic institutions"
243,Placements – Career: Aptitude Training,–,all,content,–,–,placements.ts,"Aptitude Training — quant, logical, verbal for competitive exams"
244,Placements – Career: Soft Skills,–,all,content,–,–,placements.ts,"Soft Skills — communication, GD, PI"
245,Placements – Career: Tech Workshops,–,all,content,–,–,placements.ts,"Technical Workshops — coding bootcamps, certifications"
246,Placements – Career: Mock Interviews,–,all,content,–,–,placements.ts,"Mock Interviews — sessions with industry professionals"
247,Placements – Career: Resume Workshops,–,all,content,–,–,placements.ts,"Resume & LinkedIn Workshops — writing, profile optimization"
248,Placements – Career: Entrepreneurship,–,all,content,–,–,placements.ts,"Entrepreneurship Development — venture guidance"
249,Placements – MoU: TCS,–,all,content,–,–,placements.ts,"TCS — Campus recruitment, TCS iON courses — since 2019"
250,Placements – MoU: Infosys,–,all,content,–,–,placements.ts,"Infosys — InfyTQ, campus connect — since 2020"
251,Placements – MoU: Zoho,–,all,content,–,–,placements.ts,"Zoho — Zoho Schools program, technical training — since 2021"
252,Placements – MoU: L&T,–,all,content,–,–,placements.ts,"L&T — Industrial training, project collaboration — since 2018"
253,Placements – MoU: NASSCOM,–,all,content,–,–,placements.ts,"NASSCOM — FutureSkills Prime AI/ML — since 2022"
254,Placements – MoU: AWS,–,all,content,–,–,placements.ts,"Amazon Web Services — AWS Academy, cloud training — since 2023"
255,Placements – MoU: Robert Bosch,–,all,content,–,–,placements.ts,"Robert Bosch — Industry 4.0 training, internships — since 2022"
256,Campus – Facility: Smart Classrooms,–,all,content,–,–,campus.ts,"ICT-enabled classrooms — projectors, smart boards, video conferencing"
257,Campus – Facility: Central Library,–,all,content,–,–,campus.ts,"50000+ books, 200+ journals, IEEE/Springer/NPTEL digital access"
258,Campus – Facility: Laboratories,–,all,content,–,–,campus.ts,"50+ specialized labs across departments — confirm current count"
259,Campus – Facility: Hostel,–,all,content,–,–,campus.ts,"Separate boys & girls hostels — Boys 500 capacity, Girls 300 — confirm current capacity"
260,Campus – Facility: Sports Complex,–,all,content,–,–,campus.ts,"Cricket ground, basketball court, gym — confirm active facilities"
261,Campus – Facility: Transport,–,all,content,–,–,campus.ts,"30+ buses covering Coimbatore routes — confirm current fleet size"
262,Campus – Facility: WiFi Campus,–,all,content,–,–,campus.ts,"High-speed internet across campus — confirm speed/coverage"
263,Campus – Facility: Medical Centre,–,all,content,–,–,campus.ts,"On-campus doctor and first-aid — confirm availability hours"
264,Campus – Facility: Cafeteria,–,all,content,–,–,campus.ts,"Hygienic cafeteria — affordable prices — confirm it is operational"
265,Campus – Facility: Auditorium,–,all,content,–,–,campus.ts,"Air-conditioned auditorium — 1000+ seats — confirm capacity"
266,Campus – Hostel image,https://jct1.teammistake.com/site_assests/hostel-1.jpeg,all,image,,16:9,campus.ts,"Hostel facility photo. 800×500px. JPEG. Confirm this is current and accurate"
267,Campus – Library stats,–,all,content,–,–,campus.ts,"50000 books · 200 journals · 50 magazines · 10000 ebooks · 5000 project reports"
268,Campus – Library digital resources,–,all,content,–,–,campus.ts,"IEEE Xplore · Springer · NPTEL · DELNET · J-Gate · NDL — confirm active subscriptions"
269,Research – Key areas (6),–,all,content,–,–,research.ts,"AI & ML · IoT & Embedded Systems · Renewable Energy · Advanced Materials · Data Science & Cybersecurity · Environmental Science — confirm these are the current focus areas"
270,Research – R&D Cell functions,–,all,content,–,–,research.ts,"Facilitates research projects, funding, publications, IP protection — confirm cell is active"
271,Research – Centre: AI & Data Science,–,all,content,–,–,research.ts,"Centre for AI & Data Science — established 2021 — ML, deep learning, NLP"
272,Research – Centre: Sustainable Eng,–,all,content,–,–,research.ts,"Centre for Sustainable Engineering — established 2020 — renewable energy, waste management"
273,Research – Centre: IoT & Embedded,–,all,content,–,–,research.ts,"Centre for IoT & Embedded Systems — established 2022 — smart systems, sensor networks"
274,Research – Centre: Advanced Manufacturing,–,all,content,–,–,research.ts,"Centre for Advanced Manufacturing — established 2019 — additive manufacturing, Industry 4.0"
275,Research – Publication stats,–,all,content,–,–,research.ts,"350 total papers · 120 Scopus-indexed · 45 Web of Science · 185 UGC-listed — confirm these are up-to-date"
276,Research – Recent paper 1,–,all,content,–,–,research.ts,"Deep Learning for Medical Image Analysis — Dr. A. Priya, Dr. S. Kumar — IEEE Transactions — 2024"
277,Research – External link: Anna Univ results,–,all,redirect,https://aucoe.annauniv.edu/result/,–,examinations.ts,"On click → opens Anna University results portal in new tab"
278,Research – External link: Bharathiar results,–,all,redirect,https://www.b-u.ac.in/results/,–,examinations.ts,"On click → opens Bharathiar University results portal"
279,Research – External link: DOTE results,–,all,redirect,https://www.tndte.gov.in/,–,examinations.ts,"On click → opens DOTE results portal for polytechnic students"
280,Quality – NAAC: Grade A,–,all,content,–,–,quality.ts,"NAAC Grade A — 2024 — confirm this is still the current grade and year"
281,Quality – NBA: CSE ECE MECH,–,all,content,–,–,quality.ts,"NBA Accreditation for CSE, ECE, MECH — 2023 — confirm which departments are currently accredited"
282,Quality – AICTE Approval,–,all,content,–,–,quality.ts,"AICTE Approval — continuous — confirm latest approval order is on file"
283,Quality – ISO 9001:2015,–,all,content,–,–,quality.ts,"ISO certified — 2022 — confirm certificate is not expired"
284,Quality – Anna University affiliation,–,all,content,–,–,quality.ts,"Engineering affiliated to Anna University — confirm current affiliation letter year"
285,Quality – Bharathiar affiliation,–,all,content,–,–,quality.ts,"Arts & Science affiliated to Bharathiar University — confirm"
286,Governance – Anti-Ragging helpline,–,all,content,–,–,governance.ts,"1800-180-5522 — confirm this number is active and prominently displayed"
287,Governance – Anti-Ragging committee: Chair,–,all,content,–,–,governance.ts,"Dr. S. Karthikeyan — Chairman of Anti-Ragging Committee — confirm"
288,Governance – ICC process steps,–,all,content,–,–,governance.ts,"5-step complaint process for sexual harassment — confirm legal compliance is current"
289,Governance – Grievance cell,–,all,content,–,–,governance.ts,"Grievance Redressal Cell — confirm complaint submission mechanism is live"
290,Academics – Calendar 2025-26,–,all,content,–,–,academics.ts,"Academic calendar with 12 monthly entries June 2025 – May 2026 — confirm dates are finalized"
291,Academics – Attendance rule,–,all,content,–,–,academics.ts,"75% minimum attendance required to appear for exams — confirm this matches current regulation"
292,Academics – CIA weightage,–,all,content,–,–,academics.ts,"40% CIA + 60% End Sem Exam — confirm this is current pattern for both Anna & Bharathiar"
293,Examinations – Team: Controller,–,all,content,–,–,examinations.ts,"Dr. V. Ramesh — Controller of Examinations — exam@jct.ac.in — confirm this person and email are active"
294,Examinations – Team: Asst Controller,–,all,content,–,–,examinations.ts,"Mrs. S. Priya — Assistant Controller — exam.assist@jct.ac.in — confirm"
295,Examinations – Notification: Apr 2026 exam,–,all,content,–,–,examinations.ts,"End Semester Exam from April 15, 2026. Hall tickets from April 5 — confirm these dates are finalized"
296,Examinations – Notification: Mar 2026 internal,–,all,content,–,–,examinations.ts,"Second internal assessment March 10-15, 2026 — confirm"
297,Compliance – Student conduct rules,–,all,content,–,–,compliance.ts,"Students: discipline, attendance, dress code, mobile off in class — confirm current rules"
298,Compliance – Faculty conduct rules,–,all,content,–,–,compliance.ts,"Faculty: professionalism, research, fair evaluation — confirm"
299,Compliance – Policies list (8),–,all,content,–,–,compliance.ts,"8 policy documents: Admission, Exam, Anti-Ragging, IT, Library, Hostel, Leave, Research Ethics — confirm PDFs are available for download"
300,Site – Chatbot video,https://jct1.teammistake.com/assets/videos/promo.mp4,all,image,,16:9,ChatbotButton.tsx,"Promo video in chatbot panel. 380px wide. File is 8MB — compress to under 3MB. Currently commented out"
